SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Gujarat Region,2015,1.8,0,6.1,5.5,0.9,120.7,354.7,37.4,93.4,2.2,0.3,0,622.9,1.8,12.5,606.1,2.6
Gujarat Region,2016,0,0,0.6,0,0.4,31.8,255.8,303.9,105.3,66.9,0,0,764.9,0,1,696.9,66.9
Gujarat Region,2017,0,0,0,0,0.2,137.7,613.1,179.7,67.2,15.5,0,11,1024.4,0,0.2,997.7,26.6
Saurashtra & Kutch,1901,1.9,0,0.1,0.2,3.2,9.1,87.8,62.5,12,3.8,0,0.7,181.3,1.9,3.5,171.4,4.4
Saurashtra & Kutch,1902,0.1,0,0,0.5,1.1,14.4,92.9,160,123.9,1.5,0.1,6.5,401.1,0.1,1.6,391.2,8.2
Saurashtra & Kutch,1903,0.5,0,1.7,0,3.1,10.5,337.9,96.1,61.9,11.1,0,0,522.8,0.5,4.8,506.4,11.1
Saurashtra & Kutch,1904,1.4,5.8,17.5,0,0,9.5,111.2,9.4,28.9,0.3,1.7,0,185.6,7.1,17.5,159,2
Saurashtra & Kutch,1905,1.5,1,0.6,0.4,0,6.4,254.5,12.3,12.8,0.4,0,0,290,2.5,1,286,0.5
Saurashtra & Kutch,1906,0.9,28.2,0,0,0,126,161,152.2,56.6,14.9,0,0.6,540.3,29.1,0,495.7,15.5
Saurashtra & Kutch,1907,0,19.7,0,2.3,0.4,69,201.1,213.7,3.3,0,0,0,509.6,19.8,2.7,487.1,0
Saurashtra & Kutch,1908,3.6,0,0,0,0,30.2,284.8,198.8,10.4,0.1,0,0,527.9,3.6,0,524.3,0.1
Saurashtra & Kutch,1909,0.2,3.5,0,3.6,1,99.6,247.5,64.8,157.2,2.3,0,6.7,586.4,3.7,4.5,569.2,9
Saurashtra & Kutch,1910,0.3,0,0,0.4,0.5,163.8,162.1,194.2,24.7,3.6,0.2,0,549.7,0.3,0.8,544.8,3.8
Saurashtra & Kutch,1911,1.5,0,35.5,0,0.5,42.1,12.6,27.4,19.9,0.2,0.2,0.4,140.4,1.5,36.1,102,0.8
Saurashtra & Kutch,1912,0,0,0.7,0.5,0.3,62.6,428.7,133.5,20.2,2.7,3.4,0,652.6,0,1.5,645,6
Saurashtra & Kutch,1913,0,0,0.1,0,0.7,213.1,352.8,122.6,61.9,0.5,0,0.1,751.9,0,0.9,750.3,0.6
Saurashtra & Kutch,1914,0,9.8,0.4,0,4.9,161.3,118.1,36.5,238,4.2,4.1,0,577.1,9.8,5.2,553.9,8.3
Saurashtra & Kutch,1915,1.3,1.3,7.9,7.2,1.3,34.9,99.3,12.3,29.5,50.6,0,0.2,245.8,2.6,16.4,176,50.8
Saurashtra & Kutch,1916,0,0,0,0,2.7,21,105.7,238.9,98.3,29.3,0,0,495.9,0,2.7,463.9,29.3
Saurashtra & Kutch,1917,3.4,0.2,0,1.5,57,81.4,215.2,209.9,109.6,208.5,0,0,886.7,3.7,58.5,616.1,208.5
Saurashtra & Kutch,1918,0,0,0.6,0.6,3.8,9.9,45,49,8.6,0.2,0,0,117.6,0,5,112.4,0.2
Saurashtra & Kutch,1919,7.5,0,0,1.1,0.9,24.9,170.4,179.6,31.2,18.2,11.3,0,445.1,7.5,2,406,29.6
Saurashtra & Kutch,1920,12.5,4.5,0.3,0.2,20.7,237.7,145.2,52.4,16.5,0,0,0,490.1,17,21.2,451.8,0
Saurashtra & Kutch,1921,0,0,0,0,0,8.6,317.4,79.1,190,2.7,0,0.2,598.1,0,0,595.2,2.9
Saurashtra & Kutch,1922,0,0,0,1,0.1,40.7,127.4,31.5,130.6,1.1,0,2.3,334.9,0,1.1,330.3,3.5
Saurashtra & Kutch,1923,0,11.4,0,0.5,2.7,2,103.7,69.8,14,0.8,0,0,205,11.4,3.2,189.5,0.8
Saurashtra & Kutch,1924,0,0.1,0.1,0,6.7,41,121.3,78.6,62.1,0.3,0,0.4,310.7,0.1,6.8,303.1,0.7
Saurashtra & Kutch,1925,0,0,0,0,11.7,200.5,79.9,29.2,7.6,0,11.8,0,340.6,0,11.7,317.1,11.8
Saurashtra & Kutch,1926,6,0,0.3,2.2,22.1,9.9,250.4,212.3,396.6,1.7,0,0,901.4,6,24.5,869.2,1.7
Saurashtra & Kutch,1927,0,8.8,0.1,0,1.9,52.5,442.1,47.7,55.8,22,3.5,5.1,639.5,8.8,1.9,598.1,30.6
Saurashtra & Kutch,1928,0.6,0,0,0.2,0,4.8,203.4,91.8,88.9,26.9,10.3,0,426.8,0.6,0.2,388.8,37.1
Saurashtra & Kutch,1929,5.1,0,0,3.1,0.5,39.6,268.4,63.2,11.5,7.7,1.3,21.3,421.8,5.1,3.6,382.8,30.3
Saurashtra & Kutch,1930,4.8,0.5,0,0.1,1.8,124.1,225,38.2,38.5,17.1,0,0.1,450.2,5.3,1.8,425.8,17.3
Saurashtra & Kutch,1931,0.2,0.6,0,0.1,3.1,8.1,115,119.2,20.8,60.1,2.5,0,329.7,0.7,3.2,263.1,62.6
Saurashtra & Kutch,1932,0,0,0,0,0.3,16.1,384.1,38.5,18.4,35,0,0,492.5,0,0.3,457.2,35
Saurashtra & Kutch,1933,0,4.5,1.2,11.4,103.9,59.6,220.1,242,107,5.9,2.2,0.2,757.9,4.5,116.4,628.7,8.3
Saurashtra & Kutch,1934,0,0,0.6,0.1,0,161.6,114.9,104.8,11.4,0.9,4,0,398.4,0,0.8,392.7,4.9
Saurashtra & Kutch,1935,11.5,0,0,2.5,0,44.8,353,64.6,42.3,4.9,0,0.4,524.1,11.5,2.5,504.7,5.3
